rcp_scenario,region,season,year_30yravg,status,percentile,value
4.5,Charles,Annual,2090,Projected,25,3.73381463124
4.5,Charles,Annual,2090,Projected,50,4.91598863406
4.5,Charles,Annual,2090,Projected,75,6.11372193436
4.5,Charles,Annual,2090,Projected,90,7.18627447305
8.5,Charles,Annual,2035,Projected,10,2.23063416154
8.5,Charles,Annual,2035,Projected,25,2.90897225252
8.5,Charles,Annual,2035,Projected,50,3.41170186321
8.5,Charles,Annual,2035,Projected,75,3.71567034631
8.5,Charles,Annual,2035,Projected,90,3.9659044007
8.5,Charles,Annual,2055,Projected,10,3.94064183504
8.5,Charles,Annual,2055,Projected,25,4.28362622918
8.5,Charles,Annual,2055,Projected,50,5.16138137008
8.5,Charles,Annual,2055,Projected,75,5.85129366257
8.5,Charles,Annual,2055,Projected,90,6.98917544961
8.5,Charles,Annual,2075,Projected,10,5.1795642309
8.5,Charles,Annual,2075,Projected,25,5.92411197548
8.5,Charles,Annual,2075,Projected,50,7.35692490566
8.5,Charles,Annual,2075,Projected,75,8.6227887534
8.5,Charles,Annual,2075,Projected,90,10.3250500584
8.5,Charles,Annual,2090,Projected,10,6.30074322106
8.5,Charles,Annual,2090,Projected,25,7.30949270214
8.5,Charles,Annual,2090,Projected,50,9.17350279261
8.5,Charles,Annual,2090,Projected,75,10.5791945227
8.5,Charles,Annual,2090,Projected,90,12.3021199043
N/A,Chicopee,Annual,1985,Observed,N/A,46.1603505123
4.5,Chicopee,Annual,2035,Projected,10,2.18525249575
4.5,Chicopee,Annual,2035,Projected,25,2.46620799289
4.5,Chicopee,Annual,2035,Projected,50,2.90513245487
4.5,Chicopee,Annual,2035,Projected,75,3.88588450574
4.5,Chicopee,Annual,2035,Projected,90,4.34046797452
4.5,Chicopee,Annual,2055,Projected,10,2.93018471037
4.5,Chicopee,Annual,2055,Projected,25,3.19595632
4.5,Chicopee,Annual,2055,Projected,50,4.07490803982
4.5,Chicopee,Annual,2055,Projected,75,4.995789112
4.5,Chicopee,Annual,2055,Projected,90,5.55612037211
4.5,Chicopee,Annual,2075,Projected,10,3.12087554747
4.5,Chicopee,Annual,2075,Projected,25,3.62239923524
4.5,Chicopee,Annual,2075,Projected,50,4.77464083203
4.5,Chicopee,Annual,2075,Projected,75,5.77377307382
4.5,Chicopee,Annual,2075,Projected,90,6.42675157742
4.5,Chicopee,Annual,2090,Projected,10,3.38283456379
4.5,Chicopee,Annual,2090,Projected,25,4.14874631662
4.5,Chicopee,Annual,2090,Projected,50,5.13253710134
4.5,Chicopee,Annual,2090,Projected,75,6.36230547896
4.5,Chicopee,Annual,2090,Projected,90,7.68361088475
8.5,Chicopee,Annual,2035,Projected,10,2.48897595153
8.5,Chicopee,Annual,2035,Projected,25,3.26726726659
8.5,Chicopee,Annual,2035,Projected,50,3.7006054621
8.5,Chicopee,Annual,2035,Projected,75,3.90041339973
8.5,Chicopee,Annual,2035,Projected,90,4.51376698555
8.5,Chicopee,Annual,2055,Projected,10,4.24162123742
8.5,Chicopee,Annual,2055,Projected,25,4.71813191822
8.5,Chicopee,Annual,2055,Projected,50,5.44228749539
8.5,Chicopee,Annual,2055,Projected,75,6.27654070485
8.5,Chicopee,Annual,2055,Projected,90,7.37725882458
8.5,Chicopee,Annual,2075,Projected,10,5.65292656521
8.5,Chicopee,Annual,2075,Projected,25,6.43742423328
8.5,Chicopee,Annual,2075,Projected,50,7.63567692506
8.5,Chicopee,Annual,2075,Projected,75,8.86737651197
8.5,Chicopee,Annual,2075,Projected,90,10.79394367
8.5,Chicopee,Annual,2090,Projected,10,6.85628348885
8.5,Chicopee,Annual,2090,Projected,25,7.83923060743
8.5,Chicopee,Annual,2090,Projected,50,9.47036368813
8.5,Chicopee,Annual,2090,Projected,75,10.8573043495
8.5,Chicopee,Annual,2090,Projected,90,12.8241861389
N/A,Connecticut,Annual,1985,Observed,N/A,46.9782824467
4.5,Connecticut,Annual,2035,Projected,10,2.15192573353
4.5,Connecticut,Annual,2035,Projected,25,2.43948449286
4.5,Connecticut,Annual,2035,Projected,50,2.86448023419
4.5,Connecticut,Annual,2035,Projected,75,3.84119519999
4.5,Connecticut,Annual,2035,Projected,90,4.31247017095
4.5,Connecticut,Annual,2055,Projected,10,2.84252189839
4.5,Connecticut,Annual,2055,Projected,25,3.155334278
4.5,Connecticut,Annual,2055,Projected,50,4.05705302537
4.5,Connecticut,Annual,2055,Projected,75,5.03550324318
4.5,Connecticut,Annual,2055,Projected,90,5.53471334354
4.5,Connecticut,Annual,2075,Projected,10,3.0595362986
4.5,Connecticut,Annual,2075,Projected,25,3.62456472296
4.5,Connecticut,Annual,2075,Projected,50,4.74614620355
4.5,Connecticut,Annual,2075,Projected,75,5.81837772625
4.5,Connecticut,Annual,2075,Projected,90,6.45049796303
4.5,Connecticut,Annual,2090,Projected,10,3.33017362332
4.5,Connecticut,Annual,2090,Projected,25,4.17804617676
4.5,Connecticut,Annual,2090,Projected,50,5.09434473011
4.5,Connecticut,Annual,2090,Projected,75,6.39554797701
4.5,Connecticut,Annual,2090,Projected,90,7.69845280007
8.5,Connecticut,Annual,2035,Projected,10,2.46524529547
8.5,Connecticut,Annual,2035,Projected,25,3.24389971919
8.5,Connecticut,Annual,2035,Projected,50,3.65405394796
8.5,Connecticut,Annual,2035,Projected,75,3.89834228851
8.5,Connecticut,Annual,2035,Projected,90,4.53659789441
8.5,Connecticut,Annual,2055,Projected,10,4.24513216139
8.5,Connecticut,Annual,2055,Projected,25,4.74346893902
8.5,Connecticut,Annual,2055,Projected,50,5.45904670018
8.5,Connecticut,Annual,2055,Projected,75,6.30903835059
8.5,Connecticut,Annual,2055,Projected,90,7.39707566459
8.5,Connecticut,Annual,2075,Projected,10,5.69778822118
8.5,Connecticut,Annual,2075,Projected,25,6.445758618
8.5,Connecticut,Annual,2075,Projected,50,7.65415439663
8.5,Connecticut,Annual,2075,Projected,75,8.90275295453
8.5,Connecticut,Annual,2075,Projected,90,10.76635884
8.5,Connecticut,Annual,2090,Projected,10,6.92695985438
8.5,Connecticut,Annual,2090,Projected,25,7.81692448464
8.5,Connecticut,Annual,2090,Projected,50,9.48382829767
8.5,Connecticut,Annual,2090,Projected,75,10.8214228921
8.5,Connecticut,Annual,2090,Projected,90,12.7699430183
N/A,Deerfield,Annual,1985,Observed,N/A,44.386704821
4.5,Deerfield,Annual,2035,Projected,10,2.23255819752
4.5,Deerfield,Annual,2035,Projected,25,2.51173169785
4.5,Deerfield,Annual,2035,Projected,50,2.9968275168
4.5,Deerfield,Annual,2035,Projected,75,4.01338596198
4.5,Deerfield,Annual,2035,Projected,90,4.45986568722
4.5,Deerfield,Annual,2055,Projected,10,2.86958396403
4.5,Deerfield,Annual,2055,Projected,25,3.32970147387
4.5,Deerfield,Annual,2055,Projected,50,4.28295315252
4.5,Deerfield,Annual,2055,Projected,75,5.29260567492
4.5,Deerfield,Annual,2055,Projected,90,5.76769142122
4.5,Deerfield,Annual,2075,Projected,10,3.09201959888
4.5,Deerfield,Annual,2075,Projected,25,3.81823771652
4.5,Deerfield,Annual,2075,Projected,50,4.98367500571
4.5,Deerfield,Annual,2075,Projected,75,6.14869265489
4.5,Deerfield,Annual,2075,Projected,90,6.79666618811
4.5,Deerfield,Annual,2090,Projected,10,3.42149076094
4.5,Deerfield,Annual,2090,Projected,25,4.32798548236
4.5,Deerfield,Annual,2090,Projected,50,5.28960306381
4.5,Deerfield,Annual,2090,Projected,75,6.65916969224
4.5,Deerfield,Annual,2090,Projected,90,8.05180525487
8.5,Deerfield,Annual,2035,Projected,10,2.56756342154
8.5,Deerfield,Annual,2035,Projected,25,3.38783145429
8.5,Deerfield,Annual,2035,Projected,50,3.73678951835
8.5,Deerfield,Annual,2035,Projected,75,4.12310594712
8.5,Deerfield,Annual,2035,Projected,90,4.76774736835
