featureid,huc8,AreaSqKM,impoundArea,agriculture,devel_hi,forest,mean_jul_temp,occ_current,occ_air_2,occ_air_4,occ_air_6,occ_45_2035,occ_45_2055,occ_45_2075,occ_45_2090,occ_85_2035,occ_85_2055,occ_85_2075,occ_85_2090
201479543,01070005,1.391263352024931,0.154566,6.50362,4.13102,52.4398,19.961409011823562,0.5506542653079973,0.2597198127876883,0.09127503067192554,0.027952307845857564,0.3136082757552992,0.21934243054262065,0.2012005929909868,0.17554877269683122,0.2522525095355933,0.13996720172972119,0.06337607318154372,0.03062242533433497
201479544,01070005,0.4412393978711475,0.264907,0.847181,3.71457,26.2097,20.345925306595422,0.45698841567215687,0.192171055257653,0.06300544735492579,0.018652469389313264,0.23700864886981898,0.159720953325763,0.14545216691524834,0.12560045056891278,0.18609693188846027,0.09868400163038502,0.04316859064030777,0.020472126907433073
201479547,01070005,0.8341980945620742,0.08226760000000001,2.67633,0.184575,71.7033,19.295493951635983,0.7014293888436602,0.39815190815062856,0.15703500306409285,0.049843342006130525,0.463675106356599,0.3456566333192643,0.32105290791627344,0.2851304732316638,0.3886715966096648,0.23299616674805707,0.11098563923946192,0.05455144973367969
201479559,01080204,1.4479514446378463,0.028394499999999996,0.789271,0,90.72,19.637721359495877,0.9121324459222556,0.697503062861612,0.33870218343210545,0.10214621857474143,0.7420354932755633,0.6226091589994953,0.5899936315067781,0.5479342800818893,0.6551831129970749,0.4512103314829477,0.21278399081898838,0.09384270422326876
201479560,01080204,0.624209879347829,0.00769724,2.22365,0,91.3199,19.03770974865788,0.9491335592561927,0.8068641184964479,0.4833003220934533,0.1731581050778417,0.8388551559856391,0.7496466561018349,0.7232721409615781,0.6878409302540827,0.7750845156576394,0.5996439871768865,0.331237098255708,0.1601780733850345
201479563,01090001,1.8639268826154056,0.12056800000000002,0.890131,5.38141,46.5314,22.05614502443464,0.10403502993115141,0.026579212718955497,0.006379913482771495,0.0015076207696715503,0.03937159495834766,0.02507759193321298,0.02175855333924169,0.016195710127481958,0.030703882721196132,0.01330329066244864,0.004982703566034229,0.002359144666628942
201479564,01070004,1.2118730933164827,0.08453970000000001,1.37032,1.76815,62.3648,20.055331261098022,0.8546720172337501,0.5735860194871082,0.23528059735847448,0.06574550752091449,0.634297750588991,0.506694133366964,0.472065724131714,0.4277357326548696,0.5354878007025851,0.3396781061225694,0.15627727594288343,0.07081103473473066
201479565,01080201,0.6449700533096918,0.00856095,11.7407,0,62.7939,18.355983350173933,0.9685224562280951,0.8927210710308706,0.6923622993725859,0.3783708793801047,0.9142122670236853,0.8642700201171837,0.8469358809440064,0.8293068402933398,0.8800835949731897,0.7714558857371261,0.5476136657784981,0.3358385868780743
201479570,01070005,1.5212806449370644,0.14910199999999998,5.54186,4.26005,46.6444,20.30688325219591,0.46647097953916167,0.2005353576049234,0.0671330697043119,0.02022863888617763,0.246145808518652,0.16733202338099523,0.15267460131652466,0.13221820265920686,0.19433334687473916,0.10435033267897306,0.046267170341522536,0.022174362272064204
201479576,01080203,0.46492154047153483,0.042888,0.586239,0,95.3271,16.506346535953014,0.9968052510651707,0.9898250707982128,0.9680822881002786,0.9043664160302333,0.9917394942312036,0.9870406835160933,0.9852491061913997,0.9832361773156101,0.9886031392044533,0.9775778839746269,0.9473534883217662,0.8946896194310011
